0.4426,0.818
0.2914,0.8803
0.2436,0.9051
0.2284,0.9119
0.2128,0.9185
0.2031,0.9236
0.185,0.9291
0.1841,0.9292
0.1641,0.9373
0.161,0.9389
0.1553,0.9398
0.1521,0.9409
0.1475,0.9427
0.1404,0.9468
0.1315,0.9489
0.135,0.949
0.1215,0.9534
0.1242,0.9534
0.1216,0.9531
0.1171,0.9553
0.1162,0.9564
0.1146,0.9561
0.1125,0.9574
0.1075,0.959
0.1082,0.9589
0.1009,0.9615
0.1008,0.9618
0.0945,0.9645
0.0975,0.9625
0.0986,0.9626
0.0912,0.9654
0.0895,0.9669
0.0868,0.9682
0.0895,0.9668
0.086,0.9676
0.0832,0.9691
0.0829,0.9691
0.0822,0.9689
0.0849,0.968
0.0749,0.9724
0.076,0.9722
0.0757,0.9719
0.0766,0.9712
0.0715,0.9734
0.0709,0.9741
0.0759,0.9718
0.0689,0.975
0.069,0.9736
0.0696,0.9747
0.0646,0.9765
0.0679,0.9749
0.0668,0.9752
0.0639,0.977
0.0649,0.9768
0.0662,0.9758
0.0637,0.9757
0.0604,0.977
0.0636,0.9765
0.0569,0.979
0.059,0.9786
0.059,0.9786
0.0549,0.98
0.0565,0.9788
0.0567,0.9796
0.0532,0.9807
0.0572,0.9794
0.0571,0.9786
0.0527,0.9811
0.0517,0.9809
0.0527,0.98
0.0538,0.98
0.0516,0.9809
0.0506,0.9812
0.0489,0.9815
0.0483,0.9827
0.0517,0.9809
0.0469,0.9826
0.047,0.9823
0.0514,0.9814
0.044,0.984
0.0483,0.9822
0.0502,0.9824
0.046,0.9832
0.0432,0.984
0.0472,0.9819
0.045,0.9837
0.0426,0.9847
0.0425,0.9846
0.0441,0.984
0.0429,0.9844
0.0421,0.9845
0.0419,0.9844
0.0408,0.9845
0.0426,0.9842
0.0408,0.9851
0.0408,0.9848
0.044,0.9843
0.0411,0.9853
0.0418,0.9841
0.039,0.9855
